Company,Industry,Headquarters,Reviews,Jobs,Salaries,Benefits,Interviews
TCS,IT Services & Consulting, Bangalore / Bengaluru,(95.7k),247,9L,11.9k,10.9k
Accenture,IT Services & Consulting, Bangalore / Bengaluru,(61.4k),10.1k,6L,7.4k,8.5k
Wipro,IT Services & Consulting, Bangalore / Bengaluru,(56.1k),4k,4.5L,5.3k,5.9k
Cognizant,IT Services & Consulting, Hyderabad / Secunderabad,(53.3k),273,5.8L,6.1k,5.8k
Capgemini,IT Services & Consulting, Bangalore / Bengaluru,(44.9k),1.4k,4.4L,4.2k,5k
HDFC Bank,Banking, Mumbai,(42.3k),181,1.4L,3.3k,2.3k
Infosys,IT Services & Consulting, Bangalore / Bengaluru,(41.9k),1k,4.8L,5.4k,7.8k
ICICI Bank,Banking, Mumbai,(41k),7,1.5L,3.8k,2.5k
HCLTech,IT Services & Consulting, Chennai,(38.6k),298,3.4L,4.3k,4k
Tech Mahindra,IT Services & Consulting, Hyderabad / Secunderabad,(37.3k),483,2.7L,3.8k,4k
Genpact,IT Services & Consulting, Hyderabad / Secunderabad,(34.7k),662,2.1L,3.9k,3.3k
Teleperformance,BPO, Mumbai,(31.6k),376,90.9k,2.3k,1.9k
Axis Bank,Banking, Mumbai,(27.3k),228,100k,2.2k,1.6k
Concentrix Corporation,BPO, Bangalore / Bengaluru,(27.9k),140,1.2L,3.4k,1.7k
Amazon,Internet, Bangalore / Bengaluru,(26.6k),2.7k,1.3L,4.4k,5.2k
Jio,Telecom, Mumbai,(24.9k),53,60.5k,2.7k,2.1k
Reliance Retail,Retail, Mumbai,(23.6k),123,66.3k,2k,1.6k
iEnergizer,BPO, Noida,(24.1k),323,22.7k,568,707
IBM,IT Services & Consulting, Bangalore / Bengaluru,(23.5k),1.1k,2L,2.8k,2.4k
LTIMindtree,IT Services & Consulting, Bangalore / Bengaluru,(22.2k),541,1.8L,1.3k,3k
HDB Financial Services,NBFC, Mumbai,(21.8k),258,48.9k,1.6k,869
Larsen & Toubro Limited,Engineering & Construction, Chennai,(19.8k),231,68.9k,2.9k,1.5k
Deloitte,Management Consulting, Hyderabad / Secunderabad,(18.9k),92,2L,2.6k,3k
